N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist
400,200,1.0,0.49999999999999994,3.3306690821472757e-16,0.5641895725089475,-0.5641895725089474,1.1283791450178948,0.2786524781321337,0.9949819327287858,0.019971328603325445,gaussian
800,200,1.0,0.25000000000000006,0.9538725502135545,0.8988078561991001,-0.29960261873303357,1.1984104749321336,0.23161509772193456,0.9499739036867426,0.0381358502522342,gaussian
1600,200,1.0,0.12499999999999997,1.6268396901117281,1.164483375429264,-0.16635476791846632,1.3308381433477303,0.16183114696765633,0.8393723982850754,0.06739170405130161,gaussian
3200,200,1.0,0.0625,2.1695740702119037,1.391404431365882,-0.09276029542439221,1.4841647267902742,0.1048582397257663,0.6801371409266,0.1092139818018098,gaussian
6400,200,1.0,0.031249999999999997,2.634300651391481,1.592553461574048,-0.05137269230884023,1.6439261538828882,0.06492749125199157,0.5087037761820932,0.1633716543659797,gaussian
12800,200,1.0,0.01562500000000001,3.046038769567666,1.7749685359757625,-0.02817410374564703,1.8031426397214096,0.038953055505547146,0.3551304791137999,0.2281023126033824,gaussian
25600,200,1.0,0.007812499999999997,3.418944684834723,1.9429784008903148,-0.015299042526695365,1.9582774434170103,0.022822828170024442,0.23398222148059808,0.3005762048979103,gaussian
51200,200,1.0,0.003906249999999998,3.7619033726446434,2.0994708615589293,-0.00823321906493697,2.1077040806238663,0.0131262050864236,0.14691280532463719,0.3774516986458017,gaussian
102400,200,1.0,0.001953125,4.080903809697508,2.246485893200699,-0.004396254194130499,2.2508821473948295,0.007437306462798408,0.08862213600055731,0.45537998811081104,gaussian
200,200,1.0,0.9999999990000001,-6.663285193011518,-0.0014890139589343772,-0.887763602249484,0.8862745882905496,1.9090529610287994e-09,1.0,0.00999203426452719,lognormal
400,200,1.0,0.5000000000000001,-0.11873419016979933,0.42426332070904615,-0.42724135039946415,0.8515046711085104,0.19151292408124931,0.9999916770791043,0.019983902183248935,lognormal
800,200,1.0,0.25,0.7734424074886215,0.9212569645527753,-0.3090710079778703,1.2303279725306455,0.22685054562251428,0.9997371585780298,0.03995763173617328,lognormal
1600,200,1.0,0.12500000000000006,1.49363630535687,1.5366230159983882,-0.22121930496572292,1.7578423209641112,0.2084056583021856,0.9974631524571144,0.07973348789590484,lognormal
